iter	Passed	Remaining
1089	7735	6458
1090	7743	6451
1091	7751	6445
1092	7759	6439
1093	7768	6433
1094	7776	6427
1095	7786	6422
1096	7794	6415
1097	7802	6410
1098	7810	6403
1099	7819	6397
1100	7827	6391
1101	7836	6385
1102	7844	6379
1103	7852	6373
1104	7860	6366
1105	7869	6361
1106	7877	6354
1107	7885	6348
1108	7893	6341
1109	7901	6335
1110	7909	6329
1111	7918	6323
1112	7926	6317
1113	7935	6311
1114	7944	6305
1115	7953	6300
1116	7963	6294
1117	7971	6288
1118	7980	6283
1119	7988	6277
1120	7997	6271
1121	8005	6264
1122	8014	6258
1123	8022	6252
1124	8031	6246
1125	8039	6240
1126	8048	6234
1127	8057	6228
1128	8066	6222
1129	8074	6216
1130	8084	6211
1131	8095	6207
1132	8105	6202
1133	8113	6196
1134	8121	6189
1135	8130	6184
1136	8138	6177
1137	8147	6171
1138	8155	6165
1139	8164	6159
1140	8173	6153
1141	8183	6148
1142	8192	6142
1143	8200	6135
1144	8209	6129
1145	8217	6123
1146	8227	6118
1147	8235	6112
1148	8245	6106
1149	8253	6100
1150	8263	6095
1151	8272	6089
1152	8281	6083
1153	8289	6077
1154	8297	6070
1155	8305	6064
1156	8313	6057
1157	8322	6051
1158	8331	6045
1159	8340	6039
1160	8347	6032
1161	8357	6027
1162	8365	6020
1163	8374	6014
1164	8382	6008
1165	8392	6002
1166	8400	5996
1167	8409	5990
1168	8417	5983
1169	8425	5976
1170	8433	5970
1171	8443	5965
1172	8451	5958
1173	8458	5951
1174	8466	5944
1175	8474	5937
1176	8481	5930
1177	8491	5925
1178	8498	5918
1179	8507	5912
1180	8515	5905
1181	8522	5898
1182	8530	5891
1183	8538	5884
1184	8546	5877
1185	8555	5872
1186	8564	5866
1187	8573	5860
1188	8584	5855
1189	8592	5848
1190	8601	5842
1191	8609	5835
1192	8617	5829
1193	8625	5822
1194	8633	5816
1195	8641	5809
1196	8650	5802
1197	8657	5796
1198	8666	5789
1199	8673	5782
1200	8682	5775
1201	8689	5768
1202	8697	5762
1203	8705	5755
1204	8714	5749
1205	8722	5742
1206	8731	5736
1207	8739	5729
1208	8747	5723
1209	8756	5716
1210	8765	5710
1211	8773	5703
1212	8781	5697
1213	8789	5690
1214	8797	5683
1215	8805	5677
1216	8814	5671
1217	8822	5664
1218	8831	5658
1219	8838	5651
1220	8847	5644
1221	8854	5637
1222	8862	5630
1223	8870	5623
1224	8878	5617
1225	8886	5609
1226	8894	5603
1227	8902	5596
1228	8911	5590
1229	8920	5584
1230	8929	5578
1231	8937	5571
1232	8945	5564
1233	8952	5557
1234	8960	5550
1235	8968	5543
1236	8976	5537
1237	8984	5529
1238	8993	5523
1239	9000	5516
1240	9010	5510
1241	9018	5504
1242	9027	5497
1243	9034	5490
1244	9042	5483
1245	9050	5476
1246	9058	5470
1247	9066	5462
1248	9074	5456
1249	9082	5449
1250	9090	5442
1251	9098	5435
1252	9107	5429
1253	9115	5422
1254	9124	5416
1255	9131	5409
1256	9139	5402
1257	9147	5395
1258	9155	5388
1259	9163	5381
1260	9172	5375
1261	9179	5368
1262	9187	5361
1263	9195	5354
1264	9203	5347
1265	9210	5340
1266	9219	5333
1267	9227	5326
